日期,预测值,预测下限,预测上限,趋势,趋势下限,趋势上限,年度季节性,年度季节性下限,年度季节性上限,月度季节性,月度季节性下限,月度季节性上限
2022-12-01,231034.22378737485,184747.6672406857,280868.96690644283,309198.4264665594,309198.4264665594,309198.4264665594,0.009192237739586828,0.009192237739586828,0.009192237739586828,-0.2619884876184271,-0.2619884876184271,-0.2619884876184271
2023-01-01,218091.00583805898,172101.7267339557,264069.72806658986,310108.1912188617,310108.1912188617,310108.1912188617,-0.04648467965790999,-0.04648467965790999,-0.04648467965790999,-0.2502413920370513,-0.2502413920370513,-0.2502413920370513
2023-02-01,208611.95275674918,161348.98696787914,252405.44063481133,311017.95597116405,311017.95597116405,311017.95597116405,-0.0930911349776872,-0.0930911349776872,-0.0930911349776872,-0.2361696078455002,-0.2361696078455002,-0.2361696078455002
2023-03-01,224148.2648125142,178171.19808285718,269822.658425486,311839.6789732435,311839.6789732435,311839.6789732435,0.08546921589467728,0.08546921589467728,0.08546921589467728,-0.3666759386871716,-0.3666759386871716,-0.3666759386871716
2023-04-01,197291.35821206574,153031.3469161322,244384.65123031713,312749.44372554583,312749.44372554583,312749.44372554583,-0.056798798259838315,-0.056798798259838315,-0.056798798259838315,-0.3123723955818386,-0.3123723955818386,-0.3123723955818386
2023-05-01,218773.3250275212,172257.48898968898,268838.1351669318,313629.8011689378,313629.8011689378,313629.8011689378,0.06422867191644953,0.06422867191644953,0.06422867191644953,-0.3666759386872557,-0.3666759386872557,-0.3666759386872557
2023-06-01,211731.86784912983,168464.65205467658,259535.8801674583,314539.50386044284,314539.50386044284,314539.50386044284,-0.014478873494224661,-0.014478873494224661,-0.014478873494224661,-0.3123723955817496,-0.3123723955817496,-0.3123723955817496
2023-07-01,208985.8935301557,160418.3456345911,254051.85081365408,315419.8613038348,315419.8613038348,315419.8613038348,0.02924009259345832,0.02924009259345832,0.02924009259345832,-0.3666759386867212,-0.3666759386867212,-0.3666759386867212
2023-08-01,235334.20920484612,194253.4767983883,280667.55556350766,316329.56399533985,316329.56399533985,316329.56399533985,0.05632501965036828,0.05632501965036828,0.05632501965036828,-0.3123723955816516,-0.3123723955816516,-0.3123723955816516
2023-09-01,215469.50563181893,167623.93881481056,262881.74962429045,317239.26668684493,317239.26668684493,317239.26668684493,-0.04116202225846826,-0.04116202225846826,-0.04116202225846826,-0.27963609998497263,-0.27963609998497263,-0.27963609998497263
2023-10-01,220918.13570154624,170854.2635286492,268805.1058352928,318119.62413023686,318119.62413023686,318119.62413023686,0.0068222784066096775,0.0068222784066096775,0.0068222784066096775,-0.31237239558170327,-0.31237239558170327,-0.31237239558170327
2023-11-01,219632.36322286568,176912.1020734215,265747.7223399998,319029.32682174194,319029.32682174194,319029.32682174194,-0.03192448470838058,-0.03192448470838058,-0.03192448470838058,-0.27963609998487066,-0.27963609998487066,-0.27963609998487066
2023-12-01,223611.91144498697,176367.46740786513,267216.3114470925,319909.6842651339,319909.6842651339,319909.6842651339,0.011356897907153572,0.011356897907153572,0.011356897907153572,-0.31237239558223345,-0.31237239558223345,-0.31237239558223345
2024-01-01,208511.6440844931,161725.69245105697,253364.61099107814,320819.386956639,320819.386956639,320819.386956639,-0.07042922473691221,-0.07042922473691221,-0.07042922473691221,-0.2796360999852658,-0.2796360999852658,-0.2796360999852658
2024-02-01,213217.3943365957,167180.98222424928,261155.98786027674,321729.089648144,321729.089648144,321729.089648144,-0.07528811808156857,-0.07528811808156857,-0.07528811808156857,-0.261988487618653,-0.261988487618653,-0.261988487618653
